거주동 코드,거주동 이름,근무동 코드,근무동 이름,출근_이동량,평균_이동시간_분,평균_이동거리_m,평균_이동거리_km,원본_행수,home_code8,work_code8,is_top80,목적지_순위,최종_가중치,is_internal
11260600,중화1동,11230536,용신동,6614.1,43.46,5135.21,5.135,1507,11260600,11230536,1,38.0,0.0088466,0
11260620,묵1동,11230536,용신동,6589.19,42.97,6126.72,6.127,1376,11260620,11230536,1,68.0,0.00514302,0
11290630,정릉2동,11230536,용신동,6450.95,35.72,3649.5,3.649,1571,11290630,11230536,1,44.0,0.00693725,0
11230536,용신동,11215870,구의3동,6449.52,32.54,6815.61,6.816,1259,11230536,11215870,1,39.0,0.00769611,0
11230536,용신동,11680521,논현1동,6406.03,51.6,6960.46,6.96,1352,11230536,11680521,1,40.0,0.00764421,0
11215770,중곡4동,11230536,용신동,6399.85,35.87,5534.73,5.535,1423,11215770,11230536,1,67.0,0.00541372,0
11230536,용신동,11170685,한남동,6396.24,44.3,5128.62,5.129,1431,11230536,11170685,1,41.0,0.00763253,0
11230536,용신동,11440660,서교동,6385.09,50.46,10172.15,10.172,1353,11230536,11440660,1,42.0,0.00761923,0
11290685,길음2동,11230536,용신동,6152.99,35.44,3550.85,3.551,1432,11290685,11230536,1,52.0,0.0065269,0
11230536,용신동,11650520,서초2동,5962.14,59.87,9371.11,9.371,1303,11230536,11650520,1,43.0,0.00711453,0
11230536,용신동,11710642,문정2동,5959.47,58.84,12651.19,12.651,1326,11230536,11710642,1,44.0,0.00711134,0
11305625,수유2동,11230536,용신동,5828.33,45.85,7675.65,7.676,1371,11305625,11230536,1,43.0,0.0073535,0
11380690,진관동,11230536,용신동,5808.1,64.94,11679.48,11.679,1340,11380690,11230536,0,,,0
11230536,용신동,11230660,장안2동,5786.26,29.65,3355.88,3.356,1226,11230536,11230660,1,45.0,0.00690465,0
11230536,용신동,11560535,영등포동,5782.78,59.9,12389.0,12.389,1160,11230536,11560535,1,46.0,0.0069005,0
11230536,용신동,11545510,가산동,5739.92,75.73,17271.41,17.271,1208,11230536,11545510,1,47.0,0.00684936,0
11230536,용신동,11110670,창신1동,5691.6,31.55,1753.7,1.754,1312,11230536,11110670,1,48.0,0.0067917,0
11230536,용신동,11680655,도곡1동,5646.73,56.28,10005.31,10.005,1298,11230536,11680655,1,49.0,0.00673815,0
11230536,용신동,11290610,보문동,5609.96,23.33,1163.36,1.163,1293,11230536,11290610,1,50.0,0.00669428,0
11260520,면목2동,11230536,용신동,5554.46,32.44,4342.5,4.343,1143,11260520,11230536,1,57.0,0.00667139,0
11350595,공릉1동,11230536,용신동,5551.48,45.8,6556.71,6.557,1243,11350595,11230536,1,83.0,0.0041235,0
11305603,번2동,11230536,용신동,5542.87,48.05,6014.28,6.014,1298,11305603,11230536,1,31.0,0.00977124,0
11230536,용신동,11680565,청담동,5540.51,43.99,6021.08,6.021,1229,11230536,11680565,1,51.0,0.0066114,0
11260570,면목7동,11230536,용신동,5511.36,39.18,4899.16,4.899,1143,11260570,11230536,1,57.0,0.00663217,0
11290575,동선동,11230536,용신동,5325.08,29.68,2342.69,2.343,1478,11290575,11230536,1,38.0,0.00701404,0
11215750,중곡2동,11230536,용신동,5216.53,32.05,5186.58,5.187,1191,11215750,11230536,1,60.0,0.00595239,0
11350640,상계2동,11230536,용신동,5164.74,56.12,9516.03,9.516,1403,11350640,11230536,1,47.0,0.00699295,0
11380510,녹번동,11230536,용신동,5154.1,47.88,9188.66,9.189,1140,11380510,11230536,0,,,0
11350695,상계6.7동,11230536,용신동,5099.51,55.78,8458.88,8.459,1254,11350695,11230536,1,79.0,0.00399679,0
11200790,용답동,11230536,용신동,5051.7,24.93,2134.44,2.134,1305,11200790,11230536,1,41.0,0.00794872,0
11200520,왕십리2동,11230536,용신동,5025.36,38.72,1813.38,1.813,1312,11200520,11230536,1,55.0,0.00630477,0
11305635,수유3동,11230536,용신동,4989.24,44.47,7100.97,7.101,1147,11305635,11230536,1,62.0,0.00586173,0
11320511,창1동,11230536,용신동,4907.95,51.46,8014.8,8.015,1150,11320511,11230536,1,61.0,0.0052994,0
11740685,길동,11230536,용신동,4743.59,54.1,10594.1,10.594,1253,11740685,11230536,0,,,0
11230710,회기동,11230536,용신동,4742.41,27.05,2268.9,2.269,1201,11230710,11230536,1,18.0,0.01300071,0
11350570,월계2동,11230536,용신동,4661.83,45.53,6357.56,6.358,1016,11350570,11230536,1,68.0,0.00534158,0
11305615,수유1동,11230536,용신동,4550.6,41.27,6253.49,6.253,1072,11305615,11230536,1,51.0,0.00659193,0
11140670,황학동,11230536,용신동,4485.13,21.67,985.51,0.986,1082,11140670,11230536,1,37.0,0.00807067,0
11215860,구의2동,11230536,용신동,4483.66,34.72,6183.84,6.184,1227,11215860,11230536,1,78.0,0.00411879,0
11320515,창5동,11230536,용신동,4458.48,54.8,8753.62,8.754,980,11320515,11230536,1,64.0,0.00507504,0
11290525,성북동,11230536,용신동,4412.25,40.01,3315.66,3.316,1126,11290525,11230536,1,43.0,0.00670027,0
11350600,공릉2동,11230536,용신동,4386.58,46.12,7137.5,7.137,1028,11350600,11230536,1,103.0,0.00272621,0
11230536,용신동,11170530,남영동,4385.89,42.57,6375.9,6.376,1033,11230536,11170530,1,52.0,0.00523361,0
11230536,용신동,11290705,종암동,4371.83,22.04,2387.96,2.388,1002,11230536,11290705,1,53.0,0.00521684,0
11230536,용신동,11530540,구로3동,4365.45,73.23,15630.88,15.631,998,11230536,11530540,1,54.0,0.00520922,0
11230536,용신동,11200650,성수1가1동,4359.94,37.61,3823.01,3.823,1066,11230536,11200650,1,55.0,0.00520265,0
11230536,용신동,11230710,회기동,4351.51,32.41,2466.23,2.466,982,11230536,11230710,1,56.0,0.00519259,0
11230536,용신동,11650651,양재1동,4281.74,58.54,11172.65,11.173,984,11230536,11650651,1,57.0,0.00510933,0
11305535,미아동,11230536,용신동,4281.63,39.8,5849.45,5.849,974,11305535,11230536,1,56.0,0.00608787,0
11230536,용신동,11140665,동화동,4266.75,24.84,1916.11,1.916,924,11230536,11140665,1,58.0,0.00509144,0
11305608,번3동,11230536,용신동,4260.45,51.0,5739.74,5.74,1106,11305608,11230536,1,42.0,0.00793373,0
11740570,암사1동,11230536,용신동,4168.77,56.85,9610.17,9.61,1061,11740570,11230536,0,,,0
11230536,용신동,11680590,삼성2동,4118.19,54.32,7236.59,7.237,1016,11230536,11680590,1,59.0,0.00491417,0
11110700,숭인1동,11230536,용신동,4114.15,25.4,1275.07,1.275,1090,11110700,11230536,1,20.0,0.01387878,0
11230536,용신동,11140650,신당5동,4105.86,30.37,1707.76,1.708,986,11230536,11140650,1,60.0,0.00489946,0
11200580,응봉동,11230536,용신동,4070.4,28.44,2734.83,2.735,817,11200580,11230536,1,46.0,0.00704298,0
11260575,면목3.8동,11230536,용신동,4067.08,49.4,5575.45,5.575,1059,11260575,11230536,1,81.0,0.00407998,0
11380520,불광1동,11230536,용신동,4042.49,59.5,10254.23,10.254,1049,11380520,11230536,0,,,0
11230536,용신동,11260590,상봉2동,3992.63,36.31,4448.75,4.449,905,11230536,11260590,1,61.0,0.00476434,0
11110680,창신2동,11230536,용신동,3965.07,28.69,1824.87,1.825,943,11110680,11230536,1,20.0,0.01368535,0
11230536,용신동,11440740,상암동,3963.17,60.31,12473.73,12.474,955,11230536,11440740,1,62.0,0.00472919,0
11230536,용신동,11200520,왕십리2동,3935.54,24.61,1732.76,1.733,914,11230536,11200520,1,63.0,0.00469622,0
11350625,중계2.3동,11230536,용신동,3921.38,56.87,8056.72,8.057,1003,11350625,11230536,1,98.0,0.00323632,0
11260580,상봉1동,11230536,용신동,3898.39,35.42,5907.55,5.908,864,11260580,11230536,1,71.0,0.00469737,0
11320660,쌍문1동,11230536,용신동,3894.32,60.36,8431.04,8.431,977,11320660,11230536,1,64.0,0.00525375,0
11320522,도봉2동,11230536,용신동,3883.63,64.75,11803.13,11.803,944,11320522,11230536,1,71.0,0.00423997,0
11260540,면목4동,11230536,용신동,3879.58,32.79,4521.54,4.522,886,11260540,11230536,1,61.0,0.00589612,0
11320521,도봉1동,11230536,용신동,3875.14,51.0,11553.9,11.554,889,11320521,11230536,1,42.0,0.00642732,0
11380625,역촌동,11230536,용신동,3859.54,70.22,10601.4,10.601,968,11380625,11230536,0,,,0
11350710,상계9동,11230536,용신동,3793.95,53.46,10266.73,10.267,1002,11350710,11230536,1,74.0,0.00450135,0
11230536,용신동,11650531,서초4동,3761.15,60.13,8451.13,8.451,924,11230536,11650531,1,64.0,0.00448812,0
11320690,방학1동,11230536,용신동,3754.19,45.79,9968.97,9.969,839,11320690,11230536,1,72.0,0.00442172,0
11215810,광장동,11230536,용신동,3726.75,45.61,7136.01,7.136,934,11215810,11230536,0,,,0
11230536,용신동,11140670,황학동,3678.3,26.65,1376.55,1.377,900,11230536,11140670,1,65.0,0.00438926,0
11230536,용신동,11140580,장충동,3631.63,36.61,3126.76,3.127,882,11230536,11140580,1,66.0,0.00433357,0
11350630,상계1동,11230536,용신동,3613.18,60.52,11353.37,11.353,921,11350630,11230536,0,,,0
11230536,용신동,11230610,답십리2동,3582.88,25.22,2478.3,2.478,840,11230536,11230610,1,67.0,0.00427539,0
11230536,용신동,11110600,가회동,3539.09,39.0,4200.39,4.2,880,11230536,11110600,1,68.0,0.00422314,0
11320680,쌍문3동,11230536,용신동,3537.01,53.5,8110.53,8.111,832,11320680,11230536,1,61.0,0.0058392,0
11260660,망우3동,11230536,용신동,3526.94,41.45,6093.42,6.093,843,11260660,11230536,1,54.0,0.00677692,0
11230536,용신동,11290555,삼선동,3522.27,26.54,2112.16,2.112,758,11230536,11290555,1,69.0,0.00420307,0
11140650,신당5동,11230536,용신동,3516.94,25.39,1606.99,1.607,836,11140650,11230536,1,40.0,0.00781629,0
11305595,번1동,11230536,용신동,3511.69,43.55,6910.87,6.911,937,11305595,11230536,1,63.0,0.00534364,0
11215740,중곡1동,11230536,용신동,3382.74,38.06,4497.42,4.497,816,11215740,11230536,1,70.0,0.0046829,0
11350700,상계8동,11230536,용신동,3369.15,63.36,10371.62,10.372,849,11350700,11230536,1,89.0,0.00352016,0
11215780,능동,11230536,용신동,3359.8,30.64,5172.94,5.173,994,11215780,11230536,1,58.0,0.00556714,0
11215870,구의3동,11230536,용신동,3352.02,45.36,6959.09,6.959,872,11215870,11230536,0,,,0
11350665,상계3.4동,11230536,용신동,3349.19,64.13,11039.36,11.039,854,11350665,11230536,1,87.0,0.00361044,0
11200620,금호4가동,11230536,용신동,3337.25,38.89,3554.15,3.554,804,11200620,11230536,1,54.0,0.00585249,0
11350611,하계1동,11230536,용신동,3327.5,50.32,7749.46,7.749,873,11350611,11230536,1,93.0,0.00351313,0
11215760,중곡3동,11230536,용신동,3271.87,38.33,4535.06,4.535,831,11215760,11230536,1,71.0,0.00492694,0
11230536,용신동,11215840,자양3동,3255.55,32.0,5640.27,5.64,656,11230536,11215840,1,70.0,0.0038848,0
11110690,창신3동,11230536,용신동,3246.87,25.32,1355.96,1.356,780,11110690,11230536,1,24.0,0.01253229,0
11140615,신당동,11230536,용신동,3241.12,26.82,1859.33,1.859,951,11140615,11230536,1,28.0,0.00900718,0
11200645,옥수동,11230536,용신동,3228.22,34.04,3758.62,3.759,837,11200645,11230536,0,,,0
11410620,홍제1동,11230536,용신동,3206.54,48.2,7937.75,7.938,928,11410620,11230536,0,,,0
11290580,돈암1동,11230536,용신동,3188.72,33.0,2625.7,2.626,849,11290580,11230536,1,60.0,0.00535989,0
11230536,용신동,11200670,성수2가1동,3154.71,34.43,4418.01,4.418,755,11230536,11200670,1,71.0,0.00376447,0
11260690,신내2동,11230536,용신동,3147.28,41.82,6901.55,6.902,768,11260690,11230536,1,75.0,0.00432097,0
11290780,장위3동,11230536,용신동,3047.63,47.3,5148.29,5.148,748,11290780,11230536,1,53.0,0.00639607,0
11410720,북가좌2동,11230536,용신동,3001.75,62.27,10236.25,10.236,800,11410720,11230536,0,,,0
11230536,용신동,11140625,다산동,2985.39,35.26,3130.52,3.131,758,11230536,11140625,1,72.0,0.00356242,0
11170555,청파동,11230536,용신동,2982.48,46.1,6660.73,6.661,796,11170555,11230536,0,,,0
11230536,용신동,11560605,문래동,2933.72,58.62,14104.28,14.104,712,11230536,11560605,1,73.0,0.00350076,0
11320700,방학2동,11230536,용신동,2904.15,52.08,10149.66,10.15,648,11320700,11230536,1,52.0,0.00540014,0
11320710,방학3동,11230536,용신동,2857.98,51.55,9635.57,9.636,696,11320710,11230536,1,87.0,0.00330482,0
11290770,장위2동,11230536,용신동,2857.51,41.42,4467.74,4.468,836,11290770,11230536,1,70.0,0.00502214,0
11215730,군자동,11230536,용신동,2826.36,22.13,4554.35,4.554,673,11215730,11230536,1,74.0,0.00374058,0
11230536,용신동,11215780,능동,2821.21,34.58,5092.37,5.092,665,11230536,11215780,1,74.0,0.00336651,0
11200590,금호1가동,11230536,용신동,2811.39,31.43,2428.01,2.428,725,11200590,11230536,1,65.0,0.00419966,0
11230536,용신동,11650510,서초1동,2802.91,60.45,10053.77,10.054,717,11230536,11650510,1,75.0,0.00334467,0
11320513,창3동,11230536,용신동,2762.56,49.63,6942.35,6.942,708,11320513,11230536,1,56.0,0.00644246,0
11410640,홍제3동,11230536,용신동,2760.59,54.57,7416.63,7.417,719,11410640,11230536,1,67.0,0.00378029,0
11230536,용신동,11410585,신촌동,2746.66,47.81,8292.69,8.293,712,11230536,11410585,1,76.0,0.00327755,0
11560630,신길1동,11230536,용신동,2698.76,59.64,11896.73,11.897,775,11560630,11230536,0,,,0
11200670,성수2가1동,11230536,용신동,2666.14,36.98,4891.8,4.892,720,11200670,11230536,1,51.0,0.00450689,0
11230536,용신동,11110515,청운효자동,2644.91,55.47,5704.43,5.704,675,11230536,11110515,1,77.0,0.00315613,0
11290590,돈암2동,11230536,용신동,2615.79,37.5,2849.43,2.849,669,11290590,11230536,1,63.0,0.00505169,0
11410660,홍은1동,11230536,용신동,2604.07,55.99,7770.57,7.771,712,11410660,11230536,0,,,0
11410565,충현동,11230536,용신동,2602.29,45.06,6345.42,6.345,767,11410565,11230536,0,,,0
11230536,용신동,11110700,숭인1동,2598.71,22.47,1438.79,1.439,619,11230536,11110700,0,,,0
11590660,대방동,11230536,용신동,2596.36,59.01,11838.09,11.838,710,11590660,11230536,0,,,0
11560515,영등포본동,11230536,용신동,2588.78,56.51,12788.47,12.788,620,11560515,11230536,0,,,0
11320670,쌍문2동,11230536,용신동,2573.23,46.07,8961.45,8.961,776,11320670,11230536,1,88.0,0.00362979,0
11680670,개포2동,11230536,용신동,2542.91,59.91,10251.2,10.251,576,11680670,11230536,0,,,0
11200660,성수1가2동,11230536,용신동,2539.98,31.04,3260.58,3.261,705,11200660,11230536,1,64.0,0.00410162,0
11215850,구의1동,11230536,용신동,2524.46,37.56,6134.16,6.134,610,11215850,11230536,0,,,0
11410700,남가좌2동,11230536,용신동,2511.98,67.44,9742.88,9.743,701,11410700,11230536,0,,,0
11200550,사근동,11230536,용신동,2462.77,26.51,2144.94,2.145,652,11200550,11230536,1,58.0,0.00532094,0
11230536,용신동,11230730,휘경2동,2450.45,33.13,2957.93,2.958,610,11230536,11230730,0,,,0
11110615,종로1.2.3.4가동,11230536,용신동,2445.84,30.46,4302.15,4.302,736,11110615,11230536,0,,,0
11320681,쌍문4동,11230536,용신동,2442.62,54.82,8752.86,8.753,588,11320681,11230536,1,82.0,0.00379818,0
11740640,성내1동,11230536,용신동,2424.44,55.42,9744.18,9.744,663,11740640,11230536,0,,,0
11290620,정릉1동,11230536,용신동,2416.75,34.82,3072.88,3.073,630,11290620,11230536,1,71.0,0.00428066,0
11140645,청구동,11230536,용신동,2414.95,36.29,2952.92,2.953,595,11140645,11230536,1,61.0,0.00521599,0
11260550,면목5동,11230536,용신동,2405.58,37.39,4296.45,4.296,625,11260550,11230536,1,83.0,0.00420006,0
11230536,용신동,11710520,풍납2동,2404.31,55.69,8726.64,8.727,608,11230536,11710520,0,,,0
11530780,오류2동,11230536,용신동,2362.92,76.39,19287.47,19.287,670,11530780,11230536,0,,,0
11380600,응암3동,11230536,용신동,2358.09,57.25,10219.36,10.219,611,11380600,11230536,0,,,0
11230536,용신동,11200550,사근동,2328.72,32.49,2355.8,2.356,603,11230536,11200550,0,,,0
11110650,혜화동,11230536,용신동,2302.54,34.85,3308.9,3.309,677,11110650,11230536,1,59.0,0.0037804,0
11230536,용신동,11290725,월곡2동,2277.6,28.06,3125.82,3.126,536,11230536,11290725,0,,,0
11200690,성수2가3동,11230536,용신동,2270.74,38.7,3843.0,3.843,791,11200690,11230536,0,,,0
11230536,용신동,11680750,수서동,2240.12,57.58,11425.57,11.426,545,11230536,11680750,0,,,0
11740600,천호1동,11230536,용신동,2230.15,59.83,9897.05,9.897,619,11740600,11230536,0,,,0
11230536,용신동,11740660,성내3동,2211.77,51.68,10292.75,10.293,574,11230536,11740660,0,,,0
11230536,용신동,11650540,잠원동,2202.71,46.51,6787.32,6.787,574,11230536,11650540,0,,,0
11230536,용신동,11350695,상계6.7동,2188.66,51.75,8804.69,8.805,549,11230536,11350695,0,,,0
11230536,용신동,11260680,신내1동,2178.72,46.19,7776.97,7.777,562,11230536,11260680,0,,,0
11590560,상도4동,11230536,용신동,2170.72,55.4,11535.71,11.536,534,11590560,11230536,0,,,0
11230536,용신동,11530560,구로5동,2163.34,77.45,15268.0,15.268,587,11230536,11530560,0,,,0
11230536,용신동,11440600,대흥동,2149.35,49.56,8465.4,8.465,542,11230536,11440600,0,,,0
11215820,자양1동,11230536,용신동,2147.63,46.44,6350.0,6.35,539,11215820,11230536,0,,,0
11215840,자양3동,11230536,용신동,2135.44,43.29,6043.44,6.043,594,11215840,11230536,0,,,0
11230536,용신동,11110580,교남동,2134.05,40.98,6299.39,6.299,480,11230536,11110580,0,,,0
11740525,상일1동,11230536,용신동,2120.36,65.54,12121.34,12.121,619,11740525,11230536,0,,,0
